	ERR2092865	ERR2092866	ERR2092867	ERR2092868	ERR2092869	ERR2092870	ERR2092871	ERR2092872	ERR2092873	ERR2092874	ERR2092875	ERR2092876	ERR2092877	ERR2092878	ERR2092879	ERR2092880	ERR2092881	ERR2092882	ERR2092883	ERR2092884	ERR2092885	ERR2092886	ERR2092887	ERR2092888	ERR2092889	ERR2092890	ERR2092891	ERR2092892	ERR2092893	ERR2092894	ERR2092895	ERR2092896	ERR2092897	ERR2092898	ERR2092899	ERR2092900	ERR2523251	ERR2523252	ERR2523253	ERR2523254	ERR2523255	ERR2523256	ERR2523257	ERR2523258	ERR2523259	ERR2523260	ERR2523261	ERR2523262	ERR2523263	ERR2523264	ERR2523265	ERR2523266	ERR2523267	ERR2523268	ERR2523269	ERR2523270	ERR2523271	ERR2523272	ERR2523273	ERR2523274	ERR2523275	ERR2523276	ERR2523277	ERR2523278	ERR2523279	ERR2523280
GQ140335.1.1422	392	112	120	510	207	155	135	108	111	145	124	91	97	97	79	65	200	126	72	113	273	108	149	276	278	198	235	601	326	202	103	102	58	31	22	47	17	11	0	5	7	4	16	12	20	12	28	6	29	66	19	22	47	37	19	31	8	13	30	19	41	20	40	17	7	4
FM865977.1.1415	303	71	167	712	49	365	214	126	51	103	60	15	61	17	32	19	38	453	24	18	92	43	59	294	17	41	68	28	198	8	18	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HF678384.1.1265	7221	5473	21509	6679	5975	8374	4902	17128	10537	12734	5756	7198	5069	5354	6287	5684	8165	14163	9577	5231	10349	12426	5400	8087	11978	18621	9385	8084	15983	6672	20480	9817	6	7	8	11	2	2	1	3	1319	2016	221	4268	247	442	277	359	338	295	574	622	619	711	78	156	509	140	298	789	957	217	576	218	1045	193
JQ318861.1.1470	6	29	5	7	11	8	14	2	6	8	4	14	10	10	10	4	8	7	8	4	2	6	11	6	2	7	11	15	2	3	7	6	5	6	4	9	1	0	4	1	1	1	8	2	6	4	6	3	6	11	3	7	1	7	10	8	5	2	4	2	0	7	3	2	5	4
HQ686141.1.1218	566	3	0	4	1	108	46	3	0	0	7	0	2	0	0	4	1	72	23	382	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GQ263725.1.1464	487	780	3478	802	714	1006	578	1246	376	1004	161	2125	495	209	168	210	140	704	488	1562	613	325	599	1046	894	993	775	479	304	115	1366	383	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GU550579.1.1244	40	64	64	31	59	223	92	77	111	120	324	185	112	97	167	138	265	76	135	87	182	101	98	200	180	302	259	114	585	559	205	125	8	6	4	16	4	2	3	4	8	1	7	5	1	7	5	4	3	7	13	5	5	2	6	3	0	3	2	2	4	10	2	2	11	1
KJ600845.1.1416	4	1	1	4	0	0	0	1	1	1	0	0	3	3	3	1	1	0	0	0	3	5	2	0	1	4	2	0	1	0	5	2	14	5	7	6	18	29	23	18	49	36	51	51	87	56	60	108	66	58	75	61	78	49	75	59	95	83	72	23	32	30	82	33	58	61
HM131972.1.1456	5	3	8	7	2	1	2	0	0	3	6	1	3	4	3	1	2	3	0	1	3	3	5	0	4	10	5	0	0	4	10	0	13	10	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ264198.1.1469	293	148	153	325	5	192	60	156	11	84	71	25	75	6	15	12	25	278	6	7	45	9	113	29	45	17	95	58	54	16	21	3	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0
OTU_dn_9049	99	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB681047.1.1452	739	8	889	1503	156	24	155	12	218	290	2	18	299	0	5	0	5	597	8	6	11	6	1	3	2	5	2	257	10	42	31	232	27	0	0	0	3	14	2	1	0	0	4	0	0	0	5	0	4	3	2	0	2	0	3	1	0	0	3	5	6	4	1	3	0	40
JN585684.1.1392	42	15	46	25	19	24	10	31	12	30	6	30	16	4	2	0	3	18	10	31	12	3	13	27	14	18	16	7	7	2	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HG423553.1.1283	303	355	510	295	133	719	435	355	298	414	240	244	267	117	109	239	123	304	256	313	222	111	531	461	761	438	282	335	132	142	29	450	8	3	2	6	1	1	1	2	6	0	4	1	0	2	1	2	6	6	8	4	3	1	1	0	2	2	1	0	0	1	7	0	0	0
LC018993.1.1498	3093	2	131	1268	139	7	47	60	6	161	0	1	234	2	1	15	1	100	1	0	0	1	0	1	0	0	3	6	4	0	2	74	0	1	1	1	0	4	3	13	7	2	3	1	6	13	159	1	7	13	13	13	15	25	47	6	57	0	4	4	5	7	0	4	1	41
