COc77203	COc77206	COc77229	COc77230	COc77243	COc77256	COc77265	COc77268	COcCcbulk	COcEcbulk	MRFc1	MRFc2	MRFc3	MRFcbulkcITS	NEc109	NEc118	NEc212	NEc215	NEc311	NEc317	NEc414	NEc416	NEcCcbulk	NEcEcbulk	SVERCc1cITS	SVERCc1	SVERCc2cITS	SVERCc2	SVERCc3cITS	SVERCc3	SVERCcbulkcITS	WAcC1	WAcC2	WAcC3	WAcCcbulk	WAcE1	WAcE2	WAcE3	WAcEcbulk
OTU823	10637	10984	8525	4902	5675	6685	10277	8309	52158	76168	897	359	1939	5037	5084	7307	2439	7869	8176	5562	7493	13159	38968	37838	5020	984	1866	683	3648	453	4015	491	621	477	2048	73	201	104	796
OTU1313	3033	322	818	1904	24483	1561	257	205	1238	1186	16	1	4	15	381	227	196	129	103	310	166	166	1252	792	1109	187	889	329	1401	294	1452	394	346	1080	120	154	434	456	491
OTU1375	1347	1604	1124	620	611	1442	2041	1140	7453	6598	0	20	0	70	1413	2093	293	630	543	1293	962	861	5678	4611	5160	794	2720	868	3594	788	3583	282	1623	1147	4347	631	568	592	5352
OTU1019	930	1241	886	687	525	1507	942	648	4927	4381	2	0	1	0	1439	1639	463	1089	493	950	1239	1039	8480	7527	505	102	358	70	730	49	2001	21	35	2	0	0	3	8	4
OTU483	7472	5126	5345	4474	3055	5997	5537	5559	33884	28916	0	1	0	46	2212	1987	475	1424	958	1194	1477	1341	9556	6740	6	14	3	8	1	6	28	408	631	469	2536	189	206	198	2625
OTU538	2859	2004	1671	1404	1664	2986	3492	3054	20386	23316	0	0	4	231	796	304	118	415	310	668	605	476	4492	4359	577	176	357	62	226	603	817	224	955	301	1524	33	69	68	831
OTU620	51	34	147	298	231	43	50	45	255	164	3024	496	2008	7124	505	182	20910	8645	605	407	1524	398	5536	6343	1357	659	1998	214	889	1299	2486	729	432	591	2314	2043	848	419	2430
OTU468	1	1	0	0	0	2	0	0	8	3	0	0	0	0	3	2	0	0	0	2	8	0	20	3	0	0	56	0	0	2	0	0	0	0	0	0	0	0	0
OTU75	47	19	30	8	7	20	12	11	156	88	0	0	0	0	23	72	13	8	8	35	4	17	2408	91	0	3	0	1	33	0	24	4	33	16	38	8	10	135	116
OTU1558	411	292	205	196	79	243	388	162	3286	2201	109	252	289	7724	337	667	126	596	373	397	2497	2836	6906	4865	3112	826	959	197	812	459	4986	225	1811	1593	4295	567	745	474	5314
OTU578	977	783	934	8369	3061	1514	1125	591	5259	3683	0	0	1	20	729	503	115	1558	258	437	315	361	3035	2721	888	47	1033	41	162	61	241	130	301	278	1334	4265	361	444	3331
OTU1176	119	808	83	28	8	10	44	10	523	520	97	70	43	5228	149	36	7	59	20	354	74	1109	6274	1069	31	10	9	6	4	22	151	37	400	308	304	201	92	656	1001
OTU1377	235	271	180	72	94	324	429	345	2710	3019	1	6	0	20	60	168	11	17	83	41	50	27	377	351	94	1	1	1	66	1	89	14	10	0	19	0	0	0	0
OTU1339	282	117	136	1251	444	771	187	290	1451	983	539	203	363	2725	711	179	2274	2807	678	189	2421	271	3554	4412	3859	882	3353	874	4603	670	8116	278	390	397	742	403	343	424	600
OTU321	31	45	8	6	16	39	26	11	62	138	0	2	0	0	10	4	0	21	0	2	2	0	4	9	43	1	20	9	53	1	26	1	2	2	2	0	0	0	1
OTU484	566	875	750	269	774	545	462	437	3022	3306	279	1687	129	5586	3395	3932	1315	3849	2464	3128	4159	4225	24473	25453	14467	1883	14371	2528	13285	3065	11613	40	102	8	199	30	34	48	234
OTU179	39	0	48	5	3	142	76	2	112	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU1	1456	2072	2311	1380	1394	2043	3613	1755	15565	15220	1	1	0	4	1326	1136	317	3554	487	1574	3694	3016	9344	17526	614	71	578	76	807	118	443	64	18	16	364	6	2	3	427
OTU814	10	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU16	367	592	478	248	281	807	411	153	2494	1463	406	1952	198	3974	1242	772	223	517	256	413	367	321	3102	1479	0	0	0	0	837	0	0	10	15	10	62	43	51	45	482
OTU1515	322	449	173	149	119	200	217	173	1705	2113	1326	482	2480	6895	2849	4177	1558	4967	4775	2726	4098	7071	21250	20401	10361	2714	8000	3454	16220	1416	16003	53	106	153	518	37	44	24	518
OTU1503	831	308	237	143	70	199	255	296	1617	1264	0	0	0	0	448	337	89	85	89	231	137	113	1737	904	0	0	0	0	0	13	0	13	2	0	6	0	3	1	0
OTU858	331	235	357	171	92	234	248	379	884	1240	0	28	9	41	292	125	12	75	35	136	106	165	381	305	54	16	7	19	50	11	73	223	626	607	800	366	478	1320	1591
OTU843	2	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	5
OTU67	239	451	0	19	18	0	1313	0	455	235	0	0	0	0	31	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
