OTU	ERR2092865	ERR2092866	ERR2092867	ERR2092868	ERR2092869	ERR2092870	ERR2092871	ERR2092872	ERR2092873	ERR2092874	ERR2092875	ERR2092876	ERR2092877	ERR2092878	ERR2092879	ERR2092880	ERR2092881	ERR2092882	ERR2092883	ERR2092884	ERR2092885	ERR2092886	ERR2092887	ERR2092888	ERR2092889	ERR2092890	ERR2092891	ERR2092892	ERR2092893	ERR2092894	ERR2092895	ERR2092896	ERR2092897	ERR2092898	ERR2092899	ERR2092900
GQ140335.1.1422	391	109	112	494	205	148	131	104	106	142	115	87	92	92	72	65	190	123	69	108	264	103	143	266	259	188	220	532	306	189	95	96	55	27	19	40
FM865977.1.1415	304	71	167	712	49	365	214	126	51	103	60	15	61	17	32	19	38	452	24	18	92	43	59	294	17	41	68	28	198	8	18	14	0	0	0	0
GQ263725.1.1464	486	781	3467	798	713	1003	578	1247	377	1004	162	2120	495	209	168	211	140	702	485	1560	611	324	597	1041	894	991	776	480	304	115	1363	383	0	0	0	8
HF678384.1.1265	7236	5481	21533	6683	5985	8390	4908	17152	10553	12750	5766	7207	5072	5360	6294	5694	8177	14184	9586	5235	10361	12435	5408	8096	11990	18649	9397	8096	16012	6680	20509	9834	6	7	8	11
HQ686141.1.1218	559	3	0	4	1	103	46	3	0	0	7	0	2	0	0	4	1	69	22	370	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0
LC018993.1.1498	3027	2	26	1205	86	0	44	33	4	60	0	1	202	2	1	11	0	75	0	0	0	1	0	1	0	0	3	4	4	0	2	73	0	0	1	0
JQ318861.1.1470	6	29	5	7	11	8	14	2	6	8	4	14	10	9	10	4	8	7	8	4	2	6	11	6	2	7	11	15	2	3	7	6	5	6	4	9
GU550579.1.1244	40	65	68	31	57	223	92	77	111	121	320	184	111	94	169	131	265	77	133	88	177	103	97	195	180	295	260	119	584	550	203	123	8	6	4	16
CP001619.4611730.4613224	26	25	131	33	36	49	30	42	16	29	9	63	17	2	5	22	1	21	19	66	24	7	38	42	53	35	17	15	11	6	38	17	0	0	0	0
KJ600845.1.1416	4	2	1	4	0	0	0	1	1	1	0	0	3	3	4	1	1	0	0	0	3	5	2	0	1	4	2	0	1	0	5	2	14	5	7	7
OTU_dn_135	3	8	2	16	7	4	6	6	4	9	11	19	15	12	14	4	5	5	12	9	13	6	5	7	3	15	17	33	12	1	12	16	18	28	5	20
AB681047.1.1452	334	6	377	569	53	8	74	10	94	139	1	6	132	0	2	0	1	212	5	3	0	4	1	1	1	2	1	108	8	16	15	109	22	0	0	0
HM131972.1.1456	5	3	8	7	0	1	2	0	0	3	5	1	3	4	3	0	2	3	0	1	3	3	5	0	4	10	5	0	0	4	8	0	12	10	3	8
OTU_dn_337	104	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KJ877475.1.1353	233	131	186	241	2	199	47	161	3	89	82	27	71	8	14	11	24	254	7	9	48	9	112	25	39	16	101	45	53	12	11	2	3	0	2	2
HG423553.1.1283	304	355	508	298	138	723	437	353	298	416	240	243	267	118	111	240	125	299	255	311	222	111	531	461	764	438	281	338	129	142	29	450	8	3	2	6
OTU_dn_670	16	11	15	34	11	30	21	8	30	15	11	16	21	24	11	10	22	13	22	23	18	16	5	12	10	5	21	8	10	7	19	12	11	19	12	14
HQ906958.1.1385	180	745	511	211	470	1347	930	500	1577	743	1528	2379	718	931	1168	1540	1404	446	1413	2411	1973	1832	1569	1438	1412	1606	2427	1483	2321	1222	1974	1379	18	13	10	18
OTU_dn_1405	45	28	10	16	0	6	5	8	1	8	24	7	17	9	14	11	9	16	10	3	9	3	14	8	25	10	16	15	8	15	5	3	7	6	4	10
OTU_dn_3925	13	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0
LM994064.1.1410	211	697	216	359	362	530	474	242	345	480	362	470	608	305	337	200	395	327	385	376	388	267	637	378	487	332	445	760	376	369	211	331	278	246	160	280
FR753119.1.1437	159	98	233	160	119	164	85	264	170	218	84	116	106	100	122	105	113	233	134	115	164	166	111	121	122	212	146	75	193	56	246	140	0	0	0	0
JX827227.1.1309	534	146	191	612	448	395	353	144	170	212	281	430	261	155	175	137	275	161	121	216	395	252	415	509	380	165	425	664	406	84	197	183	6	12	10	13
KF010745.1.1485	49	89	130	100	36	54	30	50	33	107	34	53	72	41	43	69	25	79	58	73	44	28	74	46	157	95	36	61	29	84	16	29	0	1	1	6
GQ264163.1.1479	350	121	62	401	5	96	59	79	10	50	34	10	45	4	11	8	16	181	1	3	14	8	69	16	22	8	40	27	25	12	14	3	4	2	1	0
HQ118376.1.1485	13	36	21	14	24	28	23	10	22	25	45	23	33	19	21	16	24	24	25	30	28	10	38	28	36	30	20	43	20	28	13	35	52	34	7	28
JF219557.1.1314	5	7	2	4	12	5	5	3	6	8	7	15	14	16	12	5	9	3	18	16	6	23	9	14	5	9	4	9	9	9	10	15	27	13	22	23
GU305772.1.1500	52	24	115	31	52	54	41	36	76	46	76	51	61	45	20	39	125	58	54	89	88	83	63	99	308	94	70	269	139	43	85	80	2	3	7	5
LN570710.1.1362	122	48	25	118	7	12	11	19	11	32	44	13	9	25	33	12	22	21	11	9	14	10	48	16	42	37	65	11	9	30	12	5	7	6	6	23
HE653819.1.1489	15	25	10	16	26	17	20	20	21	15	7	23	27	18	5	5	11	11	21	15	16	12	22	21	17	4	21	13	21	7	14	19	7	10	5	9
OTU_dn_1187	1	2	1	2	0	1	1	0	0	0	2	0	5	2	4	1	2	2	1	1	2	1	1	1	2	2	1	1	2	4	0	1	1	1	3	0
KC331363.1.1504	58	89	22	88	17	23	83	15	22	38	16	26	68	25	36	27	37	24	28	23	9	7	41	27	32	15	37	49	14	37	24	28	87	60	77	86
KC994703.1.1521	36	53	23	46	12	81	38	19	4	61	15	2	37	12	7	4	9	38	1	2	12	7	22	7	4	20	17	11	4	5	5	4	4	15	12	10
HQ645174.1.1488	600	225	133	450	90	222	82	110	19	157	72	54	118	60	45	23	26	85	74	31	59	66	104	49	71	100	156	24	52	29	52	22	0	1	0	1
AB272318.1.1241	482	1	225	430	50	1	56	15	80	104	0	1	95	0	17	1	0	104	0	3	0	0	0	0	0	0	2	106	1	6	5	59	0	0	0	0
FN421523.1.1393	1297	502	1792	1068	1097	814	413	1293	500	1281	198	1099	558	130	146	214	198	851	311	1498	537	253	889	914	713	874	726	327	221	79	257	268	0	1	0	3
GU731266.1.1363	176	571	94	326	550	447	363	153	190	322	237	118	386	111	130	159	183	235	144	152	149	145	476	169	369	156	149	298	75	106	57	171	40	31	11	32
JN662331.1.1469	11	25	3	24	17	8	19	3	23	8	9	15	22	18	11	16	10	2	14	10	7	10	9	9	14	12	20	26	14	15	14	15	17	18	12	17
FJ546400.1.1213	85	16	58	206	11	9	12	4	0	24	0	4	14	3	1	0	2	10	0	3	2	1	2	2	0	3	5	4	0	0	0	2	0	0	0	0
GQ284428.1.1479	748	132	186	496	4	12	20	5	7	22	38	7	33	15	16	2	1	9	2	9	3	3	54	19	29	2	28	7	4	4	1	3	0	0	0	1
KC295704.1.1459	427	2	515	950	104	17	83	2	124	152	1	12	167	0	3	2	4	387	3	3	11	2	0	2	1	3	1	150	2	27	16	125	5	0	0	0
OTU_dn_91	25	17	11	24	6	18	12	11	15	13	21	13	24	12	16	10	24	14	17	13	12	13	17	6	6	10	16	22	10	16	20	13	16	13	6	16
GQ288981.1.1352	85	78	45	104	89	122	120	46	65	79	65	117	61	35	53	90	112	31	53	63	90	73	100	139	200	75	145	132	144	42	80	99	12	1	6	3
FM209333.1.1493	68	410	178	144	60	311	72	152	114	192	122	100	245	184	249	176	124	124	182	60	284	81	330	212	325	221	167	275	208	364	57	54	12	7	4	17
AB974259.1.1427	133	149	320	118	160	181	308	630	2	537	17	12	68	2	1	1	4	600	1	23	16	6	63	22	2	10	12	44	6	0	4	6	0	0	0	3
OTU_dn_1395	1	1	2	2	3	1	3	0	1	0	0	1	3	6	3	0	1	2	1	2	2	1	1	1	0	1	5	0	3	0	1	1	1	2	1	3
EF516625.1.1481	3	4	9	0	2	5	5	4	6	3	3	5	2	12	4	2	2	3	3	6	5	6	5	1	10	4	16	0	3	1	4	2	13	17	8	10
FJ936901.1.1446	567	101	99	880	22	90	78	56	24	125	52	36	88	34	35	32	37	89	21	35	19	15	52	40	60	50	35	79	18	47	6	24	31	23	11	18
EF018585.1.1350	11	39	2	23	42	26	39	5	36	21	35	36	34	31	33	37	48	14	42	27	29	43	19	49	32	27	36	53	19	32	32	44	110	53	45	47
AY792241.1.1440	32	23	56	47	11	9	14	23	33	10	27	50	8	11	13	18	31	74	13	26	38	17	26	23	38	15	31	13	44	13	155	59	11	3	3	13
DQ490465.1.1485	183	0	37	60	0	28	3	1	3	4	0	19	3	1	2	1	7	1	4	11	2	8	0	1	3	29	0	4	1	0	0	0	0	0	0	0
JF135626.1.1327	9	47	11	11	20	26	31	17	53	24	8	34	43	37	26	9	27	14	28	15	37	20	44	20	3	6	24	21	11	13	23	15	13	12	8	23
HM187195.1.1469	3	4	0	0	1	1	3	2	1	0	4	0	3	2	3	2	3	0	7	0	1	3	0	2	3	0	1	2	1	2	1	3	9	3	11	4
