	COc77203	COc77206	COc77229	COc77230	COc77243	COc77256	COc77265	COc77268	COcCcbulk	COcEcbulk	MRFc1	MRFc2	MRFc3	MRFcbulkc16S	NEc109	NEc118	NEc212	NEc215	NEc311	NEc317	NEc414	NEc416	NEcCcbulk	NEcEcbulk	SVERCc1c16S	SVERCc1	SVERCc2c16S	SVERCc2	SVERCc3c16S	SVERCc3	SVERCcbulkc16S	WAcC1	WAcC2	WAcC3	WAcCcbulk	WAcE1	WAcE2	WAcE3	WAcEcbulk
ZOTU10	47	92	121	40	64	138	97	69	374	985	30	50	27	538	196	155	76	80	272	280	271	218	751	568	824	10	1624	92	1474	129	994	35	44	53	801	125	128	156	675
ZOTU9	42	274	77	110	187	425	47	70	150	261	11	20	7	55	61	46	45	42	43	46	39	42	230	103	180	9	286	15	386	47	280	8	5	10	30	15	60	12	25
ZOTU15	33	48	76	13	38	85	39	55	258	605	0	0	0	0	83	34	16	31	54	75	69	58	178	126	356	3	702	37	937	98	587	0	0	0	2	0	2	0	1
ZOTU4	153	187	113	639	82	61	15	37	157	528	114	96	126	626	41	34	154	125	197	53	121	117	224	134	142	19	112	31	278	62	266	255	117	440	462	476	388	151	325
ZOTU2	112	492	281	122	255	355	429	218	838	1775	24	97	88	211	411	90	77	79	165	360	187	225	883	692	980	42	1104	190	1282	352	1579	0	1	0	10	11	10	6	32
ZOTU11	62	79	60	49	35	148	53	32	205	351	22	46	47	289	55	76	69	84	60	86	64	80	404	402	415	1	473	33	561	70	460	25	24	32	339	89	110	95	433
ZOTU1	238	1389	445	245	259	501	519	450	1526	4650	98	205	203	2464	1117	1283	760	1103	1916	862	1669	1118	7606	4707	5386	106	7982	405	10160	1133	7023	233	477	693	5559	978	746	484	3166
ZOTU149	2	4	2	1	3	3	5	1	22	42	0	0	0	0	11	16	10	15	10	9	8	7	46	31	40	0	59	1	69	4	44	0	0	0	0	0	0	0	0
ZOTU46	18	27	34	10	17	19	17	17	143	254	0	0	1	0	54	19	33	40	57	58	87	64	329	240	81	0	135	22	87	12	68	0	0	0	0	0	0	0	1
ZOTU78	13	16	20	4	17	7	27	11	144	246	0	0	0	0	4	17	11	4	11	18	31	9	111	42	96	0	159	15	74	2	75	0	0	0	0	0	0	0	0
