No,ID,No. module,Zi,Pi
1,HQ597819.1.1531,53,0,0
2,HM438155.1.1508,3,1.314397857,0
3,HM268999.1.1363,7,-1.290994449,0
4,AB078055.1.1482,15,0.784464541,0
5,AY921923.1.1426,39,0,0
6,JF219026.1.1318,7,-0.25819889,0
7,LN563313.1.1320,2,-0.801708161,0
8,GQ115602.1.1307,52,0,0
9,KF712578.1.1447,52,0,0
10,EU134773.1.1374,1,-0.410037874,0
11,EF688390.1.1517,3,-0.965442674,0
12,AM934888.1.1353,3,0.337323344,0
13,HM186173.1.1373,1,0.297586015,0
14,LN571049.1.1370,3,1.640089361,0
15,EU133631.1.1351,3,2.617163875,0
16,GQ214118.1.1475,2,1.681252065,0
17,FR746074.1.1400,14,2,0
18,HQ121028.1.1485,14,0,0
19,HQ729793.1.1507,53,0,0
20,GQ120637.1.1515,51,0,0
21,KJ192092.1.1494,0,0.632177954,0
22,HM186381.1.1372,37,0,0
23,HQ269169.1.1006,2,-0.914569989,0
24,AM935389.1.1375,3,-0.639751169,0
25,FN421989.1.1411,7,-1.290994449,0
26,KM108646.1.1486,7,-0.25819889,0
27,EU134433.1.1384,21,0,0
28,FN563268.1.1434,8,1.224744871,0
29,JF796778.1.1361,0,-1.038442466,0
30,JF182317.1.1359,36,0,0
31,HQ645177.1.1530,4,-0.592156525,0
32,GQ889484.1.1344,1,-0.586943846,0.32
33,OTU_dn_17,2,-0.801708161,0
34,HQ863977.1.1515,2,0.101186467,0
35,JQ825030.1.1500,3,-0.314059665,0
36,KC682986.1.1542,2,-0.914569989,0
37,OTU_dn_26,3,-0.965442674,0
38,FN811188.1.1502,39,0,0
39,HM186099.1.1282,8,1.224744871,0
40,KF712764.1.1481,3,-0.314059665,0
41,HE974832.1.1521,21,0,0
42,JQ408047.1.1348,46,0,0
43,FN421497.1.1383,32,0,0
44,GQ389149.1.1514,3,0.337323344,0
45,JX001221.1.1476,1,0.828303933,0
46,JF778694.1.1453,7,0.774596669,0
47,AB238772.1.1460,0,-0.411959808,0
48,HQ597865.1.1508,0,0.110109073,0
49,HQ597858.1.1508,2,-0.237399018,0
50,GQ500779.1.1545,23,0,0
51,KF712575.1.1502,7,1.807392228,0
52,EF020070.1.1404,11,0.816496581,0
53,HQ119750.1.1320,3,-0.965442674,0
54,GQ500695.1.1516,2,-0.011675362,0
55,HM838910.1.1308,26,0,0
56,GQ263795.1.1423,41,0,0
57,HM186292.1.1479,0,-0.620787361,0
58,GQ264058.1.1417,3,0.337323344,0
59,GBGR01024531.3.1247,7,-0.25819889,0
60,AY963350.1.1475,1,-0.763849819,0
61,HQ597072.1.1505,2,-0.801708161,0
62,AB179513.1.1495,0,2.616039703,0
63,AB240277.1.1456,7,0.774596669,0
64,JQ426597.1.1440,3,0.011631839,0
65,FM209322.1.1496,17,0,0
66,KC358467.1.1263,3,-0.965442674,0
67,KF385183.1.1467,2,-0.463122675,0
68,HM062199.1.1484,22,0,0
69,JN217087.1.1493,3,0.988706353,0
70,HQ221933.1.1500,2,-0.688846332,0
71,AM935013.1.1362,3,-0.639751169,0
72,HM559117.1.1362,3,1.640089361,0
73,HM438070.1.1442,4,-0.592156525,0.375
74,GQ302567.1.1523,2,-0.463122675,0
75,AY921888.1.1388,0,0.110109073,0
76,FR774598.1.1302,14,-1,0
77,LN555074.1.1367,2,-0.463122675,0
78,FJ946550.1.1290,0,-0.725201137,0
79,FQ660226.1.1354,3,0.011631839,0
80,AY922176.1.1411,3,-0.639751169,0
81,HQ118415.1.1458,35,0,0
82,HM270222.1.1366,5,1.004759665,0
83,AB696153.1.1472,6,-0.650944555,0
84,GU550579.1.1244,1,-0.233131902,0
85,KC331535.1.1508,2,-0.350260847,0
86,HG764513.1.1456,2,2.245561207,0
87,EF019027.1.1242,0,-0.829614913,0
88,FJ959380.1.1450,14,0,0
89,JF135837.1.1354,2,-0.801708161,0
90,HM186081.1.1338,2,-0.12453719,0
91,JQ978622.1.1509,2,-0.801708161,0
92,HM049662.1.1488,15,0.784464541,0
93,KJ535378.1.1545,14,0,0
94,OTU_dn_274,3,-0.639751169,0
95,JQ428753.1.1507,3,0.663014848,0
96,FQ659783.2.1361,4,-0.065795169,0.444444444
97,KC464841.1.1444,0,-1.038442466,0
98,HM445153.1.1382,10,-0.707106781,0
99,AM934766.1.1351,3,2.617163875,0
100,FN396933.1.1344,3,-0.314059665,0
101,GU444098.1.1503,0,-0.934028689,0
102,EU134563.1.1349,1,-0.056225929,0
103,FQ658578.1.1352,0,0.841005507,0
104,AJ518786.1.1279,16,0,0
105,OTU_dn_6930,5,-1.354241288,0
106,EU135114.1.1329,3,-0.639751169,0
107,LN572793.1.1365,3,2.617163875,0
108,JF235662.1.1343,1,-0.410037874,0
109,KC110954.1.1499,1,1.35902185,0
110,JX489858.1.1467,3,-0.965442674,0
111,GQ214101.1.1460,17,0,0
112,JN367206.1.1416,13,-1,0
113,HM186323.1.1354,2,-0.801708161,0.444444444
114,JF180093.1.1374,16,0,0
115,GU434684.1.913,2,-0.237399018,0
116,FJ936965.1.1497,1,-0.410037874,0
117,HQ190470.1.1454,2,-0.12453719,0
118,FN811256.1.1488,24,0,0
119,OTU_dn_249,0,-0.307546032,0
120,OTU_dn_7037,3,-0.965442674,0
121,JQ675495.1.1255,0,-0.203132256,0
122,GQ500799.1.1497,1,-1.117661763,0
123,AM941214.1.1404,24,0,0
124,AM936350.1.1332,35,0,0
125,HE818627.1.1450,3,0.663014848,0
126,HE818691.1.1410,1,-0.940755791,0
127,FR691416.1.1439,26,0,0
128,AM935004.1.1319,3,-0.965442674,0
129,HQ597226.1.1505,1,-0.586943846,0
130,FR746066.1.1379,12,0.327560891,0
131,JF222314.1.1357,15,0.098058068,0
132,JN825272.1.1443,0,0.214522849,0.132653061
133,FR687541.1.1483,0,-0.829614913,0.375
134,FQ659571.1.1334,13,1,0
135,JN863525.1.1254,8,-1.224744871,0
136,FJ984603.1.1375,48,0,0
137,HF558634.1.1485,46,0,0
138,KM007102.1.1463,5,-0.567907637,0
139,KC331270.1.1522,1,0.474491988,0
140,HM186120.1.1273,1,0.297586015,0
141,GQ487985.1.1489,42,0,0
142,JN408994.1.1461,1,0.65139796,0
143,OTU_dn_36,41,0,0
144,HQ397514.1.1513,9,-0.75,0
145,HE818662.1.1498,6,2.473589309,0
146,JQ861281.1.1538,1,0.120680043,0
147,FR749720.1.1492,1,2.951175601,0.0768
148,EU133460.1.1297,2,-0.801708161,0
149,JN037972.1.1518,1,-0.410037874,0
150,HM062448.1.1434,0,-0.098718479,0
151,FQ658643.1.1351,1,-1.117661763,0
152,JN417572.1.1515,3,0.011631839,0
153,HQ864192.1.1500,3,1.640089361,0
154,EF516878.1.1487,0,-0.516373584,0
155,EF515885.1.1425,4,-1.118517881,0.5
156,OTU_dn_92,3,1.314397857,0
157,HE818683.1.1380,2,1.116942923,0
158,JN180234.1.1483,37,0,0
159,JQ958657.1.1451,4,0.986927542,0.56
160,EU133642.1.1320,36,0,0
161,GQ379550.1.1205,15,1.470871014,0
162,KC358413.1.1283,2,-0.914569989,0
163,JX489944.1.1458,2,1.794113893,0
164,EU134118.1.1335,11,0.816496581,0
165,AM936412.1.1351,5,1.004759665,0
166,FM209357.1.1460,1,-0.233131902,0.54
167,EU133654.1.1347,3,-0.639751169,0
168,GQ264227.1.1470,12,1.11370703,0
169,EF580956.1.1487,33,0,0
170,JQ087116.1.1451,3,0.663014848,0
171,KC604510.1.912,1,-0.586943846,0
172,JQ738718.1.1511,2,0.665495609,0
173,KC331348.1.1498,9,0.5,0
174,GQ500879.1.1453,2,-0.237399018,0
175,EF019575.1.1392,0,0.110109073,0
176,JN038840.1.1480,3,0.011631839,0
177,AM935498.1.1337,13,-1,0
178,OTU_dn_129,3,-0.965442674,0
179,GQ021408.1.1337,2,-0.801708161,0
180,GQ263979.1.1482,12,-0.065512178,0
181,EU135525.1.1398,2,-0.914569989,0
182,FN421791.1.1370,32,0,0
183,GQ263769.1.1481,3,-0.965442674,0
184,JN408930.1.1478,45,0,0
185,AM934896.1.1370,3,-0.639751169,0
186,JF267691.1.1491,1,-0.940755791,0
187,KJ013358.1.1524,2,0.665495609,0
188,HM438087.1.1438,1,-0.056225929,0
189,JF180325.1.1354,1,-0.940755791,0.5
190,HE818678.1.1456,2,1.794113893,0
191,GQ871302.1.921,2,0.665495609,0
192,FR853451.1.1447,1,0.474491988,0.165289256
193,OTU_dn_233,2,-0.350260847,0
194,FM209343.1.1484,6,-0.650944555,0
195,EU134467.1.1363,3,-0.639751169,0
196,JN869053.1.1523,2,-0.801708161,0
197,EU134532.1.1380,1,0.120680043,0
198,FN794227.1.1213,1,2.243551711,0.090702948
199,KC331272.1.1473,1,1.535927822,0.110726644
200,JN177872.1.1485,40,0,0
201,JQ977357.1.1445,34,0,0
202,JX114461.1.1506,0,1.676315717,0
203,GQ354917.1.1471,6,-0.650944555,0
204,HQ598611.1.1456,0,-0.725201137,0
205,AF234700.1.1524,18,1.732050808,0
206,JQ978483.1.912,2,-0.350260847,0
207,EF019478.1.1389,0,-0.725201137,0
208,JN387436.1.1303,2,2.922732178,0
209,OTU_dn_202,1,1.535927822,0
210,GU940938.1.1326,31,0,0
211,KT905758.1.1518,11,-1.224744871,0
212,KJ013364.1.1542,2,1.34266658,0
213,GQ500766.1.1431,18,-0.577350269,0
214,HQ860568.1.1449,5,0.61159284,0
215,GQ263401.1.1473,42,0,0
216,AY922067.1.1413,0,-1.038442466,0
217,FN436182.1.1450,1,1.35902185,0
218,GQ500780.1.1517,0,-0.725201137,0
219,HQ015446.1.1501,3,-0.639751169,0
220,KF836169.1.1507,5,-1.354241288,0
221,GDHX01215817.4.1477,4,-1.118517881,0.625
222,JQ407973.1.1341,1,0.474491988,0
223,OTU_dn_34,3,-0.965442674,0
224,GQ093828.1.1375,1,0.297586015,0
225,GQ302563.1.1481,0,1.467488164,0
226,GQ263306.1.1429,4,-0.065795169,0.625
227,OTU_dn_525,1,-0.586943846,0
228,JQ337772.1.1387,3,0.337323344,0
229,JF115262.1.1368,2,-0.463122675,0
230,AB486271.1.1385,2,2.358423036,0
231,HQ462523.1.1272,0,0.110109073,0
232,OTU_dn_1168,1,-0.763849819,0.375
233,JF167650.1.1343,3,-0.965442674,0
234,JF833682.1.1522,25,0,0
235,GQ480068.1.1499,27,0,0
236,OTU_dn_133,6,0.130188911,0
237,FM253595.1.1492,1,-0.586943846,0
238,HQ681945.1.1486,3,1.640089361,0
239,JN615823.1.1359,0,1.049833059,0
240,HQ118950.1.1461,0,0.005695297,0
241,HQ538636.1.1505,25,0,0
242,EF516211.1.1486,0,-0.725201137,0
243,GU434683.1.912,6,0.130188911,0
244,LN570734.1.1364,1,-0.763849819,0
245,JF168260.1.1308,2,-0.801708161,0
246,HM270847.1.1338,5,-1.354241288,0
247,GU359111.1.1447,44,0,0
248,JX079389.1.1505,2,0.552633781,0
249,GQ179660.1.1472,2,-0.914569989,0
250,JQ314347.1.1503,29,0,0
251,HE998785.1.1420,12,1.506780099,0
252,HQ119840.1.1529,1,-0.233131902,0
253,JQ425884.1.1513,3,-0.639751169,0
254,HM438334.1.1442,3,-0.965442674,0
255,JN408916.1.1473,3,-0.639751169,0
256,JF319250.1.1492,2,0.214048295,0
257,AB630648.1.1493,0,1.154246836,0
258,EU134725.1.1311,1,1.005209905,0
259,HM061913.1.1474,51,0,0
260,OTU_dn_390,1,-0.410037874,0
261,JF145457.1.1366,2,0.439771952,0
262,JN409283.1.1455,0,0.632177954,0
263,EU134402.1.1356,1,-0.940755791,0
264,HF548406.1.1395,1,-1.117661763,0
265,HM438317.1.1441,1,-0.763849819,0
266,KJ191880.1.1479,0,-1.038442466,0
267,HQ118309.1.1456,0,0.841005507,0
268,JN409141.1.1445,5,-0.174740811,0
269,HQ597046.1.1477,0,1.467488164,0
270,AY218724.1.1479,49,0,0
271,HM272568.1.1375,2,-0.688846332,0
272,JF202669.1.1366,1,-0.940755791,0
273,KJ410586.1.1406,0,-1.038442466,0
274,EF019297.1.1330,0,-0.620787361,0
275,AB745450.1.1523,21,0,0
276,FQ659114.1.1354,5,-0.961074462,0.444444444
277,AM936248.1.1336,18,-0.577350269,0
278,KJ192110.1.1497,10,-0.707106781,0
279,AB637067.1.1518,0,-1.038442466,0
280,EU133083.1.1361,2,-0.011675362,0
281,EU132753.1.1386,2,-0.914569989,0
282,JF175389.1.1344,2,-0.914569989,0
283,GQ264188.1.1442,1,3.481893518,0
284,JF222463.1.1376,18,-0.577350269,0
285,JQ978534.1.1483,0,1.258660612,0
286,GQ264161.1.1476,4,-0.065795169,0
287,OTU_dn_270,3,-0.965442674,0
288,KC357953.1.1282,0,-0.934028689,0
289,EU134539.1.1420,2,-0.463122675,0
290,JN217053.1.1513,47,0,0
291,JX505163.1.1470,1,1.535927822,0
292,JQ425906.1.1508,22,0,0
293,OTU_dn_1367,15,-1.274754878,0
294,AB486416.1.1391,2,-0.011675362,0
295,DQ404823.1.1537,1,-0.586943846,0.32
296,KX163657.1.1392,0,0.736591731,0
297,HQ119000.1.1454,40,0,0
298,AB487113.1.1358,1,1.182115877,0.364197531
299,EU135086.1.1433,2,-0.350260847,0
300,OTU_dn_21,1,0.120680043,0
301,EU133400.1.1317,6,1.692455843,0
302,GQ263297.1.1408,19,0,0
303,FM865977.1.1415,1,-0.410037874,0
304,EF019628.1.1371,1,-0.410037874,0
305,FR687449.1.1512,0,-1.038442466,0
306,LN563430.1.1371,1,1.535927822,0
307,AY921870.1.1410,1,-0.763849819,0
308,AY921745.1.1424,1,-1.117661763,0.5
309,GQ867054.1.1363,1,0.65139796,0
310,GQ396905.1.1512,2,-0.688846332,0
311,HE602786.1.1405,3,-0.639751169,0
312,JX505087.1.1414,2,-0.914569989,0
313,FN667138.1.1449,5,1.004759665,0
314,GQ001578.1.1319,38,0,0
315,EU888366.1.916,1,0.120680043,0
316,GQ214121.1.1490,43,0,0
317,HQ597484.1.1507,2,-0.350260847,0
318,FN421726.1.1361,15,-1.274754878,0
319,HQ118264.1.1458,0,-0.098718479,0.408163265
320,JN023626.1.1506,0,-0.934028689,0
321,EU134448.1.1297,4,-1.118517881,0
322,FJ950542.1.1459,14,-1,0
323,KM456172.1.1407,0,0.423350402,0
324,HM187027.1.1336,6,-0.650944555,0
325,FJ973534.1.1501,48,0,0
326,JF139768.1.1366,34,0,0
327,OTU_dn_43,1,0.65139796,0.152777778
328,KM658502.1.1401,1,-0.940755791,0
329,HM061839.1.1442,0,2.302798374,0
330,GQ262947.1.1438,2,1.568390237,0.079861111
331,EF019448.1.1377,6,-0.650944555,0
332,LN560232.1.1367,8,-1.224744871,0
333,HM187138.1.1474,0,-0.829614913,0.5
334,JN024070.1.1500,1,0.120680043,0
335,KJ013387.1.1515,1,1.005209905,0
336,GU359075.1.1440,9,1.75,0.375
337,GQ302557.1.1516,0,0.214522849,0
338,AY921822.1.1339,4,1.513288898,0.541666667
339,EF612365.1.1484,11,0.816496581,0
340,EU134716.1.1352,5,1.004759665,0
341,KC331263.1.1475,3,0.011631839,0
342,AB630916.1.1449,5,-0.567907637,0
343,HM186336.1.1352,0,1.258660612,0.079861111
344,JF145730.1.1376,1,-0.763849819,0
345,JN024052.1.1438,0,-0.307546032,0
346,JQ426266.1.1493,1,-0.940755791,0
347,OTU_dn_85,6,-0.650944555,0
348,HQ729844.1.1507,2,-0.688846332,0
349,GU208371.1.1443,2,-0.914569989,0
350,JQ427380.1.1491,2,-0.914569989,0
351,HM270310.1.1371,1,1.535927822,0
352,FQ658557.1.1361,0,-0.411959808,0
353,JF186204.1.1334,0,-0.829614913,0
354,EU335229.1.1512,1,0.65139796,0
355,EF019737.1.1373,1,-0.940755791,0
356,JF166678.1.1342,5,0.61159284,0
357,HG322865.1.1345,31,0,0
358,HM315697.1.1357,2,-0.801708161,0
359,FM213003.1.1476,19,0,0
360,JQ311826.1.1400,0,0.736591731,0
