ID	Bin	TaxonRelativeAbundance	Domain	Phylum	Class	Order	Family	Species
OTU_DN_11145	Bin1	2.71540547065601e-06	Bacteria	Firmicutes	Clostridia	Halanaerobiales	ODP1230B8.23	Burkholderiales bacterium Beta_02
OTU_DN_19564	Bin1	1.83331500018333e-06	Bacteria	Firmicutes	Clostridia	Halanaerobiales	ODP1230B8.23	Burkholderiales bacterium Beta_02
OTU_DN_4909	Bin1	7.49810296013275e-06	Bacteria	Firmicutes	Clostridia	Halanaerobiales	ODP1230B8.23	hydrothermal vent metagenome
OTU_DN_1380	Bin1	7.74410510215607e-06	Bacteria	Firmicutes	Clostridia	Halanaerobiales	ODP1230B8.23	uncultured bacterium
OTU_DN_6019	Bin1	1.01015171042594e-06	Bacteria	Firmicutes	Clostridia	Halanaerobiales	ODP1230B8.23	uncultured bacterium
HE576389.1.1425	Bin1	4.20173271038087e-06	Bacteria	Firmicutes	Clostridia	Halanaerobiales	ODP1230B8.23	uncultured bacterium
OTU_DN_7900	Bin1	1.6675697686384e-06	Bacteria	Firmicutes	Clostridia	Halanaerobiales	ODP1230B8.23	hydrothermal vent metagenome
JF917290.1.1321	Bin1	1.65223190092865e-06	Bacteria	SR1 (Absconditabacteria)	NA	NA	NA	NA
HQ120446.1.1427	Bin1	4.28809588784948e-06	Bacteria	SR1 (Absconditabacteria)	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_5986	Bin1	5.64579416563631e-07	Bacteria	Gracilibacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
AB600424.1.1301	Bin1	6.20056159372149e-06	Bacteria	Gracilibacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_3909	Bin1	4.715735881874e-06	Bacteria	Gracilibacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_7046	Bin1	5.5527319207807e-06	Bacteria	Peregrinibacteria	groundwater metagenome	groundwater metagenome	groundwater metagenome	groundwater metagenome
CXWL01000614.1530.2955	Bin1	3.58279113760784e-07	Bacteria	Peregrinibacteria	NA	NA	NA	NA
FM207932.1.1447	Bin1	1.41051681336042e-06	Bacteria	Peregrinibacteria	NA	NA	NA	NA
OTU_DN_18682	Bin1	1.13532056575417e-06	Bacteria	Peregrinibacteria	Candidatus Peribacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_11097	Bin1	9.30319099451112e-07	Bacteria	Peregrinibacteria	Candidatus Peribacteria	NA	NA	NA
OTU_DN_14156	Bin1	1.82664022781106e-06	Bacteria	Peregrinibacteria	Candidatus Peribacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_5302	Bin1	1.21674763189383e-06	Bacteria	Peregrinibacteria	Candidatus Peribacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_18445	Bin1	7.5589217953951e-07	Bacteria	Peregrinibacteria	Candidatus Peribacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_4935	Bin1	3.02356871815804e-06	Bacteria	Peregrinibacteria	Candidatus Peribacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
KC432203.1.1297	Bin1	1.7877174939723e-05	Bacteria	Gracilibacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_11756	Bin1	2.19229206861004e-06	Bacteria	Gracilibacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_5044	Bin1	2.23664083450216e-06	Bacteria	Peregrinibacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_11426	Bin1	1.75554092604784e-06	Bacteria	Peregrinibacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_2361	Bin1	4.27651976821263e-06	Bacteria	WWE3	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
JF428946.1.1416	Bin1	1.90986838710731e-06	Bacteria	WWE3	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_3809	Bin1	3.24462065269106e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_2573	Bin1	6.83918937899321e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_19620	Bin1	2.74310041667695e-07	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_2294	Bin1	7.14273471698003e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_1799	Bin1	9.5127306854335e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_9421	Bin1	3.38739045002109e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_10859	Bin1	1.58507493441752e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_8500	Bin1	3.15938765687591e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_8533	Bin1	2.37761240162629e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_8819	Bin1	3.57783845916125e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_8707	Bin1	1.75554092604784e-06	Bacteria	Parcubacteria	Parcubacteria group bacterium GW2011_GWD2_43_10	Parcubacteria group bacterium GW2011_GWD2_43_10	Parcubacteria group bacterium GW2011_GWD2_43_10	Parcubacteria group bacterium GW2011_GWD2_43_10
OTU_DN_11993	Bin1	2.63331138907176e-06	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
FJ946601.1.1290	Bin1	2.42019928503492e-06	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_2352	Bin1	3.62505041192827e-06	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_6483	Bin1	2.4520831854823e-06	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_2119	Bin1	1.85997513291667e-05	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
GQ339139.1.1475	Bin1	5.64493367202935e-07	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_5283	Bin1	4.3990954647502e-06	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_5636	Bin1	4.64359021752436e-06	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	NA	NA	NA
OTU_DN_7878	Bin1	2.34532576574886e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_13223	Bin1	1.12898673440587e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_14980	Bin1	5.790455013955e-07	Bacteria	Parcubacteria	Candidatus Kuenenbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_9648	Bin1	1.39496278936759e-06	Bacteria	Parcubacteria	Candidatus Uhrbacteria	NA	NA	NA
OTU_DN_7551	Bin1	2.5408614839955e-06	Bacteria	Parcubacteria	Candidatus Uhrbacteria	NA	NA	NA
OTU_DN_9037	Bin1	6.97481394683797e-07	Bacteria	Parcubacteria	Candidatus Uhrbacteria	NA	NA	NA
OTU_DN_13473	Bin1	1.57431272245838e-06	Bacteria	Parcubacteria	Candidatus Uhrbacteria	NA	NA	NA
AY921841.1.1366	Bin1	2.1782062069802e-06	Bacteria	Parcubacteria	Candidatus Uhrbacteria	NA	NA	NA
OTU_DN_5520	Bin1	1.92198910493745e-06	Bacteria	Parcubacteria	Candidatus Uhrbacteria	NA	NA	NA
AY493985.1.1418	Bin1	9.30319099451112e-07	Bacteria	Parcubacteria	Candidatus Uhrbacteria	NA	NA	NA
OTU_DN_12953	Bin1	1.58507493441752e-06	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_17158	Bin1	1.39496278936759e-06	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_7054	Bin2	2.56581392087442e-07	Bacteria	Parcubacteria	Candidatus Moranbacteria	NA	NA	NA
OTU_DN_5224	Bin2	1.62553583444105e-06	Bacteria	Parcubacteria	Candidatus Moranbacteria	NA	NA	NA
OTU_DN_3137	Bin2	3.24462065269106e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
