Bin	BinRA	TopTaxonID	TopTaxonRAinBin	TopTaxon.Domain	TopTaxon.Phylum	TopTaxon.Class	TopTaxon.Order	TopTaxon.Family	TopTaxon.Species	Domain.maxNamed	Domain.maxNamed.Percent	Phylum.maxNamed	Phylum.maxNamed.Percent	Class.maxNamed	Class.maxNamed.Percent	Order.maxNamed	Order.maxNamed.Percent	Family.maxNamed	Family.maxNamed.Percent	Species.maxNamed	Species.maxNamed.Percent
Bin1	0.000191015174079509	OTU_DN_2119	0.0973731611574722	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	Bacteria	1	Parcubacteria	0.525955772704569	uncultured bacterium	0.482915983214103	uncultured bacterium	0.801040889254896	uncultured bacterium	0.801040889254896	uncultured bacterium	0.876903577495946
Bin2	0.000165988429405267	HQ462560.1.1224	0.0712589654180474	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	Bacteria	1	Parcubacteria	0.992812286164538	uncultured bacterium	0.98127250616448	uncultured bacterium	0.992728373190918	uncultured bacterium	0.992728373190918	uncultured bacterium	0.992728373190918
Bin3	0.000138699869624046	OTU_DN_3509	0.0689065363409686	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	Bacteria	1	Parcubacteria	1	Candidatus Azambacteria	0.70624611083409	uncultured bacterium	0.834559690700798	uncultured bacterium	0.834559690700798	uncultured bacterium	0.834559690700798
Bin4	8.25336505026439e-05	OTU_DN_942	0.118546686113363	Bacteria	Candidatus Berkelbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	Bacteria	1	Candidatus Berkelbacteria	0.833354733582247	uncultured bacterium	0.914035282338475	uncultured bacterium	0.914035282338475	uncultured bacterium	0.914035282338475	uncultured bacterium	0.914035282338475
Bin5	0.000187112620890254	KC620693.1.1473	0.172608761355464	Bacteria	Microgenomates	Candidatus Woesebacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	Bacteria	1	Microgenomates	0.953649650094242	Candidatus Woesebacteria	0.846275350625908	uncultured bacterium	0.666017563482921	uncultured bacterium	0.666017563482921	uncultured bacterium	0.719445066702971
Bin6	0.000523624426068169	OTU_DN_198	0.178560525486585	Archaea	Woesearchaeota (DHVEG-6)	uncultured euryarchaeote	uncultured euryarchaeote	uncultured euryarchaeote	uncultured euryarchaeote	Archaea	1	Woesearchaeota (DHVEG-6)	0.987441147277956	uncultured euryarchaeote	0.8331602286022	uncultured euryarchaeote	0.8331602286022	uncultured euryarchaeote	0.8331602286022	uncultured euryarchaeote	0.8331602286022
Bin7	0.00413060433033218	KC604510.1.912	0.212730686397415	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	uncultured archaeon	Archaea	1	Euryarchaeota	0.990792505202265	Thermoplasmata	0.988119416642634	Thermoplasmatales	0.988119416642634	Marine Group II	0.987087514191369	uncultured archaeon	0.972351789154319
Bin8	0.0172527547468415	KJ566474.1.925	0.282050154617693	Archaea	Thaumarchaeota	Soil Crenarchaeotic Group(SCG)	NA	NA	NA	Archaea	1	Thaumarchaeota	1	Soil Crenarchaeotic Group(SCG)	0.958033946572319	uncultured archaeon	0.385658571977067	uncultured archaeon	0.385658571977067	uncultured archaeon	0.516809005058701
Bin9	0.000189775951273684	AY493961.1.1417	0.382911583535967	Bacteria	WS2	NA	NA	NA	NA	Bacteria	1	WS2	0.812412017682772	Clostridia	0.677920402526005	Halanaerobiales	0.677920402526005	ODP1230B8.23	0.677920402526005	uncultured bacterium	1
Bin10	0.000540918272317226	OTU_DN_353	0.0978188987861546	Bacteria	Cyanobacteria	Melainabacteria	Vampirovibrionales	uncultured bacterium	uncultured bacterium	Bacteria	1	Cyanobacteria	1	Melainabacteria	1	Vampirovibrionales	1	uncultured bacterium	0.644127795782199	uncultured bacterium	0.644127795782199
Bin11	0.000740753136895099	GQ389121.1.1480	0.11127076528364	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales	uncultured bacterium	uncultured bacterium	Bacteria	1	Cyanobacteria	0.947105455646022	Melainabacteria	0.947105455646022	Obscuribacterales	0.947105455646022	uncultured bacterium	0.869259402929451	uncultured bacterium	0.890867676621069
Bin12	0.00080696031719108	OTU_DN_67	0.150794013913025	Bacteria	Cyanobacteria	ML635J-21	uncultured bacterium	uncultured bacterium	uncultured bacterium	Bacteria	1	Cyanobacteria	1	ML635J-21	1	uncultured bacterium	0.982847384872375	uncultured bacterium	0.982847384872375	uncultured bacterium	0.982847384872375
Bin13	0.000434736379472155	FN811236.1.1464	0.320519911313955	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIII	FamilyI	NA	Bacteria	1	Cyanobacteria	1	Cyanobacteria	1	SubsectionIII	0.734323408304554	FamilyI	0.996099496344879	Ambiguous_taxa	0.892264498167477
Bin14	0.00243830513283147	GQ396899.1.1522	0.246619003717138	Bacteria	Acidobacteria	Subgroup 17	uncultured bacterium	uncultured bacterium	uncultured bacterium	Bacteria	1	Acidobacteria	0.971646190596273	Subgroup 17	0.972755942951477	uncultured bacterium	0.589448715791901	uncultured bacterium	0.592499676977381	uncultured bacterium	0.592499676977381
