"SpeciesID"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Species"
"1"	"OTU_DN_11145"	"Bacteria"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"ODP1230B8.23"	"Burkholderiales bacterium Beta_02"
"2"	"OTU_DN_19564"	"Bacteria"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"ODP1230B8.23"	"Burkholderiales bacterium Beta_02"
"3"	"OTU_DN_4909"	"Bacteria"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"ODP1230B8.23"	"hydrothermal vent metagenome"
"4"	"OTU_DN_1380"	"Bacteria"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"ODP1230B8.23"	"uncultured bacterium"
"5"	"OTU_DN_6019"	"Bacteria"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"ODP1230B8.23"	"uncultured bacterium"
"6"	"HE576389.1.1425"	"Bacteria"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"ODP1230B8.23"	"uncultured bacterium"
"7"	"OTU_DN_7900"	"Bacteria"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"ODP1230B8.23"	"hydrothermal vent metagenome"
"8"	"JF917290.1.1321"	"Bacteria"	"SR1 (Absconditabacteria)"	NA	NA	NA	NA
"9"	"HQ120446.1.1427"	"Bacteria"	"SR1 (Absconditabacteria)"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"10"	"OTU_DN_5986"	"Bacteria"	"Gracilibacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"11"	"AB600424.1.1301"	"Bacteria"	"Gracilibacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"12"	"OTU_DN_3909"	"Bacteria"	"Gracilibacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"13"	"OTU_DN_7046"	"Bacteria"	"Peregrinibacteria"	"groundwater metagenome"	"groundwater metagenome"	"groundwater metagenome"	"groundwater metagenome"
"14"	"CXWL01000614.1530.2955"	"Bacteria"	"Peregrinibacteria"	NA	NA	NA	NA
"15"	"FM207932.1.1447"	"Bacteria"	"Peregrinibacteria"	NA	NA	NA	NA
"16"	"OTU_DN_18682"	"Bacteria"	"Peregrinibacteria"	"Candidatus Peribacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"17"	"OTU_DN_11097"	"Bacteria"	"Peregrinibacteria"	"Candidatus Peribacteria"	NA	NA	NA
"18"	"OTU_DN_14156"	"Bacteria"	"Peregrinibacteria"	"Candidatus Peribacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"19"	"OTU_DN_5302"	"Bacteria"	"Peregrinibacteria"	"Candidatus Peribacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"20"	"OTU_DN_18445"	"Bacteria"	"Peregrinibacteria"	"Candidatus Peribacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"21"	"OTU_DN_4935"	"Bacteria"	"Peregrinibacteria"	"Candidatus Peribacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"22"	"KC432203.1.1297"	"Bacteria"	"Gracilibacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"23"	"OTU_DN_11756"	"Bacteria"	"Gracilibacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"24"	"OTU_DN_5044"	"Bacteria"	"Peregrinibacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"25"	"OTU_DN_11426"	"Bacteria"	"Peregrinibacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"26"	"OTU_DN_2361"	"Bacteria"	"WWE3"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"27"	"JF428946.1.1416"	"Bacteria"	"WWE3"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"28"	"OTU_DN_3809"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"29"	"OTU_DN_2573"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"30"	"OTU_DN_19620"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"31"	"OTU_DN_2294"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"32"	"OTU_DN_1799"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"33"	"OTU_DN_9421"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"34"	"OTU_DN_10859"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"35"	"OTU_DN_8500"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"36"	"OTU_DN_8533"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"37"	"OTU_DN_8819"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"38"	"OTU_DN_8707"	"Bacteria"	"Parcubacteria"	"Parcubacteria group bacterium GW2011_GWD2_43_10"	"Parcubacteria group bacterium GW2011_GWD2_43_10"	"Parcubacteria group bacterium GW2011_GWD2_43_10"	"Parcubacteria group bacterium GW2011_GWD2_43_10"
"39"	"OTU_DN_11993"	"Bacteria"	"Parcubacteria"	"Candidatus Magasanikbacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"40"	"FJ946601.1.1290"	"Bacteria"	"Parcubacteria"	"Candidatus Magasanikbacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"41"	"OTU_DN_2352"	"Bacteria"	"Parcubacteria"	"Candidatus Magasanikbacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"42"	"OTU_DN_6483"	"Bacteria"	"Parcubacteria"	"Candidatus Magasanikbacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"43"	"OTU_DN_2119"	"Bacteria"	"Parcubacteria"	"Candidatus Magasanikbacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"44"	"GQ339139.1.1475"	"Bacteria"	"Parcubacteria"	"Candidatus Magasanikbacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"45"	"OTU_DN_5283"	"Bacteria"	"Parcubacteria"	"Candidatus Magasanikbacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"46"	"OTU_DN_5636"	"Bacteria"	"Parcubacteria"	"Candidatus Magasanikbacteria"	NA	NA	NA
"47"	"OTU_DN_7878"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"48"	"OTU_DN_13223"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"49"	"OTU_DN_14980"	"Bacteria"	"Parcubacteria"	"Candidatus Kuenenbacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"50"	"OTU_DN_9648"	"Bacteria"	"Parcubacteria"	"Candidatus Uhrbacteria"	NA	NA	NA
"51"	"OTU_DN_7551"	"Bacteria"	"Parcubacteria"	"Candidatus Uhrbacteria"	NA	NA	NA
"52"	"OTU_DN_9037"	"Bacteria"	"Parcubacteria"	"Candidatus Uhrbacteria"	NA	NA	NA
"53"	"OTU_DN_13473"	"Bacteria"	"Parcubacteria"	"Candidatus Uhrbacteria"	NA	NA	NA
"54"	"AY921841.1.1366"	"Bacteria"	"Parcubacteria"	"Candidatus Uhrbacteria"	NA	NA	NA
"55"	"OTU_DN_5520"	"Bacteria"	"Parcubacteria"	"Candidatus Uhrbacteria"	NA	NA	NA
"56"	"AY493985.1.1418"	"Bacteria"	"Parcubacteria"	"Candidatus Uhrbacteria"	NA	NA	NA
"57"	"OTU_DN_12953"	"Bacteria"	"Parcubacteria"	"Candidatus Magasanikbacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"58"	"OTU_DN_17158"	"Bacteria"	"Parcubacteria"	"Candidatus Magasanikbacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"59"	"OTU_DN_7054"	"Bacteria"	"Parcubacteria"	"Candidatus Moranbacteria"	NA	NA	NA
"60"	"OTU_DN_5224"	"Bacteria"	"Parcubacteria"	"Candidatus Moranbacteria"	NA	NA	NA
"61"	"OTU_DN_3137"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"62"	"OTU_DN_8708"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"63"	"OTU_DN_3711"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"64"	"HQ120591.1.1319"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"65"	"KC358164.1.1225"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"66"	"OTU_DN_12238"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"67"	"OTU_DN_5173"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"68"	"EU134933.1.1233"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"69"	"AM991239.1.1391"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"70"	"OTU_DN_3642"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"71"	"OTU_DN_5242"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"72"	"EF018382.1.1327"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"73"	"AB179676.1.1344"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"74"	"AM991231.1.1392"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"75"	"OTU_DN_3862"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"76"	"OTU_DN_2549"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"77"	"OTU_DN_10026"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"78"	"OTU_DN_5488"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"79"	"OTU_DN_2696"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"80"	"HE602783.1.1341"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"81"	"KC329593.1.1430"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"82"	"JQ861406.1.1431"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"83"	"OTU_DN_19110"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"84"	"EF018219.1.1324"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"85"	"OTU_DN_3799"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"86"	"OTU_DN_11357"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
